epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
95,7311.87,0.24829,0.15915,0.78624,0.99364,0.99616,0.9944,0.98398,0.21925,0.13273,0.7856,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,7382.98,0.2467,0.15699,0.78526,0.99389,0.99607,0.99448,0.98351,0.21873,0.13637,0.7851,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,7455.89,0.24877,0.15876,0.78668,0.99315,0.99668,0.99422,0.98355,0.22053,0.13566,0.78714,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,7527.19,0.2464,0.15684,0.78745,0.99316,0.99654,0.9943,0.98255,0.22162,0.13329,0.78768,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,7597.91,0.2473,0.15715,0.78876,0.9926,0.99665,0.9944,0.98347,0.22148,0.13177,0.78432,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,7669.11,0.24519,0.15627,0.78672,0.99154,0.99683,0.99437,0.98256,0.22133,0.13466,0.78491,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,7741.08,0.24625,0.15716,0.7871,0.99217,0.99677,0.99434,0.98353,0.22313,0.13544,0.78622,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,7813.08,0.24694,0.15647,0.78768,0.99283,0.9961,0.99436,0.98276,0.22202,0.13315,0.78512,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,7883.43,0.24395,0.15641,0.78693,0.99364,0.99602,0.99429,0.98336,0.22121,0.13396,0.78477,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,7955.88,0.24474,0.15501,0.78656,0.99209,0.99591,0.99428,0.98416,0.22123,0.13642,0.78302,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,8027.3,0.24186,0.15414,0.78633,0.99153,0.98856,0.9942,0.98357,0.22103,0.13459,0.78297,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,8098.3,0.24351,0.15401,0.78535,0.9939,0.99646,0.99439,0.98439,0.22071,0.13398,0.78314,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,8168.21,0.24175,0.15316,0.78512,0.99261,0.99662,0.99441,0.98403,0.22059,0.13216,0.78231,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,8238.95,0.24102,0.15268,0.78593,0.99298,0.99664,0.99447,0.98394,0.21954,0.13327,0.78151,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,8310.1,0.23917,0.15065,0.78447,0.99282,0.99667,0.99439,0.98336,0.21964,0.13358,0.78107,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,8379.97,0.24023,0.15061,0.78535,0.99272,0.99604,0.99435,0.98393,0.21864,0.13431,0.78185,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,8449.95,0.24147,0.15308,0.7857,0.99312,0.99602,0.9944,0.98343,0.2186,0.13249,0.78288,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,8519.98,0.23783,0.14924,0.78439,0.99272,0.99591,0.99432,0.98302,0.21765,0.13108,0.78217,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,8589.88,0.23645,0.14821,0.78182,0.9923,0.99596,0.99444,0.98133,0.21701,0.13249,0.78176,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,8656.8,0.2373,0.14785,0.78409,0.9922,0.99574,0.99446,0.98159,0.21641,0.12975,0.78262,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,8726.78,0.23725,0.14733,0.78431,0.99241,0.99591,0.99443,0.98263,0.21682,0.13222,0.78235,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,8797.25,0.23611,0.1471,0.78366,0.99204,0.99542,0.99442,0.98104,0.21708,0.13174,0.7828,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,8868.68,0.23509,0.14572,0.78281,0.992,0.99555,0.99436,0.98001,0.21572,0.13018,0.78263,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,8939.15,0.2349,0.14546,0.78327,0.9918,0.99525,0.99426,0.98171,0.21471,0.12865,0.78283,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,9010.4,0.23509,0.14534,0.78548,0.99119,0.99531,0.99426,0.98229,0.21409,0.12874,0.78275,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,9080.74,0.23453,0.1454,0.78308,0.99167,0.9948,0.99427,0.98191,0.21424,0.1282,0.78248,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,9150.67,0.23307,0.14481,0.78345,0.99192,0.99481,0.99427,0.98219,0.21406,0.12836,0.78232,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,9220.88,0.23077,0.1426,0.78565,0.99154,0.99439,0.99428,0.9828,0.21432,0.12965,0.78282,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,9292.25,0.23252,0.14288,0.78291,0.99068,0.99557,0.99436,0.98342,0.21498,0.12997,0.78315,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,9363.45,0.2294,0.14193,0.78188,0.99037,0.99591,0.99437,0.98309,0.21531,0.1291,0.78264,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,9434.94,0.23032,0.1426,0.78393,0.98993,0.99631,0.99425,0.98344,0.21523,0.12953,0.78144,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,9506.1,0.23041,0.14163,0.78338,0.99035,0.99627,0.99439,0.9841,0.2152,0.12957,0.78175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,9576.64,0.22653,0.1404,0.78225,0.99059,0.99625,0.99443,0.98426,0.21512,0.12915,0.78236,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,9646.56,0.22822,0.14045,0.78327,0.99084,0.99561,0.99443,0.98451,0.21507,0.12664,0.78195,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,9716.44,0.22711,0.14113,0.78358,0.99047,0.99575,0.99437,0.98407,0.21575,0.1268,0.78163,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,9786.92,0.22526,0.13712,0.78064,0.98965,0.99599,0.99438,0.98476,0.21593,0.12788,0.78061,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,9858.28,0.22741,0.13979,0.78387,0.99149,0.99414,0.99439,0.98461,0.21635,0.12779,0.78024,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,9929.75,0.22586,0.13796,0.78279,0.99169,0.99395,0.99439,0.98454,0.21627,0.12812,0.77993,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,10001,0.22311,0.13616,0.78181,0.9917,0.9939,0.99439,0.9847,0.21656,0.12928,0.77968,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,10071.9,0.22491,0.13707,0.78353,0.99162,0.99376,0.9944,0.98375,0.21736,0.12901,0.77956,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,10143.2,0.22438,0.13677,0.78304,0.99159,0.99371,0.9944,0.98393,0.21764,0.1284,0.77972,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,10214,0.22233,0.13523,0.78347,0.99133,0.99362,0.99439,0.9832,0.21785,0.12974,0.78034,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,10283.9,0.22353,0.13582,0.78166,0.99105,0.99348,0.99439,0.98318,0.21744,0.12906,0.78074,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,10354.1,0.22076,0.13459,0.78277,0.99076,0.99352,0.99437,0.98317,0.21749,0.13058,0.78087,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
